date,total_precipitation,temperature_2m,soil_moisture_layer1,solar_radiation,basin
2015-08-25,40.303146,23.830688,0.3576453626155853,93832.305,ganges_farakka
2015-08-26,60.701057,23.785498,0.35466814041137695,91352.03,ganges_farakka
2015-08-27,92.802925,23.584654,0.3577861785888672,83498.35,ganges_farakka
2015-08-28,85.59854,23.58815,0.3617243468761444,82476.6,ganges_farakka
2015-08-29,65.61854,23.809937,0.35916563868522644,85587.914,ganges_farakka
2015-08-30,71.35632,23.825663,0.35406744480133057,84855.61,ganges_farakka
2015-08-31,62.96858,23.759054,0.3470146954059601,88963.625,ganges_farakka
2015-09-01,38.084652,23.611643,0.3371172845363617,95246.21,ganges_farakka
2015-09-02,33.656517,23.410269,0.3282678425312042,100223.336,ganges_farakka
2015-09-03,34.52655,23.403925,0.3219177722930908,98426.87,ganges_farakka
2015-09-04,21.098831,23.848495,0.3139861226081848,101281.59,ganges_farakka
2015-09-05,16.766848,24.046465,0.30495044589042664,102757.43,ganges_farakka
2015-09-06,13.45898,23.906733,0.2954366207122803,105685.83,ganges_farakka
2015-09-07,9.12612,23.703596,0.2863641381263733,106408.53,ganges_farakka
2015-09-08,5.902839,23.948904,0.2770818769931793,110634.875,ganges_farakka
2015-09-09,6.2311373,24.194763,0.26838067173957825,110373.51,ganges_farakka
2015-09-10,19.880083,24.362726,0.2652249038219452,106577.75,ganges_farakka
2015-09-11,43.44108,24.30248,0.27186229825019836,100242.945,ganges_farakka
2015-09-12,45.74433,24.19467,0.2803139090538025,96333.836,ganges_farakka
2015-09-13,33.42029,24.39067,0.28414592146873474,100621.04,ganges_farakka
2015-09-14,39.29182,24.40442,0.2889708876609802,99033.1,ganges_farakka
2015-09-15,40.086426,24.007172,0.29056981205940247,93177.484,ganges_farakka
2015-09-16,48.847935,23.880707,0.2880111038684845,92715.305,ganges_farakka
2015-09-17,59.48768,23.786133,0.29211971163749695,88280.85,ganges_farakka
2015-09-18,50.465805,23.926245,0.3015008270740509,87171.95,ganges_farakka
2015-09-19,51.513027,23.793253,0.3103778660297394,86014.71,ganges_farakka
2015-09-20,96.50538,23.045675,0.32391777634620667,80447.36,ganges_farakka
2015-09-21,131.6307,22.584406,0.33845147490501404,66543.09,ganges_farakka
2015-09-22,97.54436,22.693148,0.34408271312713623,69637.57,ganges_farakka
